iter	Passed	Remaining
0	57	57493
1	58	28994
2	58	19455
3	59	14706
4	59	11853
5	59	9937
6	60	8554
7	60	7530
8	61	6736
9	61	6090
10	62	5579
11	62	5153
12	63	4790
13	63	4474
14	63	4195
15	64	3951
16	64	3736
17	64	3544
18	65	3373
19	65	3219
20	66	3077
21	66	2952
22	66	2836
23	67	2731
24	67	2635
25	67	2544
26	68	2462
27	68	2384
28	69	2314
29	69	2246
30	69	2183
31	70	2125
32	70	2075
33	71	2023
34	71	1973
35	72	1928
36	72	1884
37	72	1842
38	73	1804
39	73	1766
40	73	1729
41	74	1697
42	74	1665
43	75	1634
44	75	1604
45	76	1577
46	76	1552
47	76	1525
48	77	1499
49	77	1476
50	78	1453
51	78	1431
52	78	1409
53	79	1388
54	79	1369
55	80	1350
56	80	1330
57	80	1311
58	81	1295
59	81	1279
60	82	1263
61	82	1246
62	82	1230
63	83	1215
64	83	1202
65	84	1190
66	84	1178
67	84	1164
68	85	1150
69	85	1137
70	85	1125
71	86	1115
72	86	1103
73	87	1092
74	87	1082
75	88	1071
76	88	1060
77	88	1049
78	89	1039
79	89	1030
80	89	1020
81	90	1010
82	90	1000
83	90	991
84	91	983
85	91	976
86	92	967
87	92	958
88	92	951
89	93	943
90	93	935
91	94	928
92	94	921
93	94	913
94	95	906
95	95	899
96	95	892
97	96	886
98	96	879
99	96	872
100	97	867
101	97	861
102	98	856
103	98	850
104	99	845
105	99	839
106	100	834
107	100	829
108	100	823
109	100	817
110	101	811
111	101	806
112	101	800
113	102	795
114	102	790
115	103	785
116	103	780
117	103	775
118	104	770
119	104	766
120	104	761
121	105	756
122	105	752
123	106	749
124	106	744
125	106	741
126	107	736
127	107	733
128	107	729
129	108	724
130	108	721
131	109	718
132	109	714
133	110	711
134	110	707
135	110	703
136	111	699
137	111	695
138	111	692
139	112	688
140	112	684
141	112	680
142	112	677
143	113	673
144	113	671
145	114	668
146	114	665
147	115	662
148	115	658
149	115	656
150	116	653
151	116	650
152	117	648
153	117	646
154	118	643
155	118	640
156	118	638
157	119	635
158	119	632
159	119	629
160	120	625
161	120	623
162	120	620
163	121	617
164	121	615
165	121	612
166	122	609
167	122	606
168	122	603
169	123	601
170	123	598
171	123	595
172	124	593
173	124	590
174	124	587
175	124	585
176	125	583
177	125	581
178	126	578
179	126	576
180	126	574
181	127	571
182	127	569
183	128	567
184	128	565
185	128	563
186	129	561
187	129	559
188	129	557
189	130	554
190	130	552
191	130	551
192	131	549
193	131	546
194	132	545
195	132	542
196	132	541
197	133	539
198	133	537
199	133	535
200	134	533
201	134	531
202	134	529
203	135	527
204	135	525
205	135	523
206	136	522
207	136	520
208	137	518
209	137	517
210	137	515
211	138	514
212	138	512
213	139	510
214	139	508
215	139	507
216	140	506
217	140	504
218	140	502
219	141	501
220	141	499
221	142	498
222	142	496
223	142	495
224	143	494
225	143	492
226	144	491
227	144	490
228	145	488
229	145	486
230	145	485
231	146	483
232	146	482
233	147	481
234	147	480
235	147	478
236	148	477
237	148	475
238	149	474
239	149	473
240	150	472
241	150	471
242	150	469
243	151	468
244	151	467
245	152	466
246	152	465
247	152	463
248	153	462
249	153	461
250	154	459
251	154	458
252	154	457
253	155	455
254	155	454
255	156	453
256	156	452
257	156	451
258	157	450
259	157	448
260	158	447
261	158	446
262	158	445
263	159	444
264	159	442
265	160	441
266	160	441
267	161	440
268	161	438
269	161	437
270	162	436
271	162	435
272	163	434
273	163	433
274	164	432
275	164	431
276	165	430
277	165	429
278	165	428
279	166	427
280	166	426
281	166	424
282	167	423
283	167	422
284	168	421
285	168	420
286	169	420
287	169	418
288	169	417
289	170	416
290	170	415
291	171	414
292	171	413
293	171	412
294	172	411
295	172	410
296	172	409
297	173	408
298	173	407
299	174	406
300	174	406
301	175	405
302	175	403
303	176	402
304	176	401
305	176	400
306	177	399
307	177	398
308	177	398
309	178	396
310	178	395
311	179	394
312	179	393
313	179	393
314	180	392
315	180	391
316	181	390
317	181	389
318	181	388
319	182	387
320	182	386
321	182	385
322	183	384
323	183	383
324	184	382
325	184	381
326	184	380
327	185	379
328	185	378
329	185	377
330	186	376
331	186	375
332	187	374
333	187	373
334	187	372
335	188	371
336	188	370
337	188	369
338	189	368
339	189	368
340	190	367
341	190	366
342	190	365
343	191	364
344	191	363
345	191	362
346	192	361
347	192	360
348	192	359
349	193	358
350	193	357
351	193	356
352	194	355
353	194	355
354	195	354
355	195	353
356	195	352
357	196	351
358	196	350
359	196	349
360	197	349
361	197	348
362	197	347
363	198	346
364	198	345
365	198	344
366	199	343
367	199	342
368	199	341
369	200	341
370	200	340
371	201	339
372	201	338
373	201	337
374	202	336
375	202	336
376	202	335
377	203	334
378	203	333
379	204	333
380	204	332
381	204	331
382	205	330
383	205	329
384	205	329
385	206	328
386	206	327
387	207	326
388	207	325
389	207	324
390	208	324
391	208	323
392	208	322
393	209	321
394	209	320
395	210	320
396	210	319
397	210	318
398	211	318
399	211	317
400	211	316
401	212	315
402	212	314
403	212	314
404	213	313
405	213	312
406	214	311
407	214	311
408	214	310
409	215	309
410	215	308
411	215	307
412	216	307
413	216	306
414	216	305
415	217	304
416	217	304
417	217	303
418	218	302
419	218	301
420	218	300
421	219	300
422	219	299
423	219	298
424	220	298
425	220	297
426	221	296
427	221	296
428	221	295
429	222	294
430	222	294
431	223	293
432	223	292
433	223	291
434	224	291
435	224	290
436	225	289
437	225	289
438	225	288
439	226	287
440	226	287
441	226	286
442	227	285
443	227	284
444	227	284
445	228	283
446	228	282
447	228	281
448	229	281
449	229	280
450	229	279
451	230	279
452	230	278
453	230	277
454	231	276
455	231	276
456	231	275
457	232	274
458	232	274
459	232	273
460	233	272
461	233	271
462	233	271
463	234	270
464	234	269
465	234	269
466	235	268
467	235	267
468	236	267
469	236	266
470	236	265
471	237	265
472	237	264
473	237	263
474	238	263
475	238	262
476	238	261
477	239	261
478	239	260
479	239	259
480	240	259
481	240	258
482	241	257
483	241	257
484	241	256
485	242	256
486	242	255
487	242	254
488	243	254
489	243	253
490	243	252
491	244	252
492	244	251
493	244	250
494	245	250
495	245	249
496	246	249
497	246	248
498	246	247
499	247	247
500	247	246
501	247	245
502	248	245
503	248	244
504	248	243
505	249	243
506	249	242
507	249	241
508	250	241
509	250	240
510	250	240
511	251	239
512	251	238
513	251	238
514	252	237
515	252	236
516	252	236
517	253	235
518	253	234
519	253	234
